Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
86,Kristoffer,Ajer,Brentford,DEF,44,1,14,2024-12-15T19:00:00Z,0,0,0,1,0,0,0,0,0,0,4,4.4,14.3,2.0,2.1,0.00,0.19,0.19,0.20,323,515,16,CHE (A),4
87,Ethan,Brierley,Brentford,MID,45,0,0,2024-12-15T19:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,145,311,16,CHE (A),4
88,Nathan,Collins,Brentford,DEF,45,1,90,2024-12-15T19:00:00Z,0,0,0,2,0,0,0,0,0,0,9,14.4,13.8,2.0,3.0,0.00,0.22,0.22,2.23,24620,16840,16,CHE (A),4
89,Mikkel,Damsgaard,Brentford,MID,50,2,62,2024-12-15T19:00:00Z,0,0,0,1,0,0,0,0,0,0,5,8.6,3.3,5.0,1.7,0.15,0.01,0.16,1.87,14311,24067,16,CHE (A),4
90,Josh,Dasilva,Brentford,MID,48,0,0,2024-12-15T19:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,7,12,16,CHE (A),4
91,Mark,Flekken,Brentford,GK,45,3,90,2024-12-15T19:00:00Z,0,0,0,2,0,0,0,0,6,0,13,42.4,0.0,0.0,4.2,0.00,0.00,0.00,2.23,23808,57349,16,CHE (A),4
92,Rico,Henry,Brentford,DEF,43,0,0,2024-12-15T19:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,12,91,16,CHE (A),4
93,Aaron,Hickey,Brentford,DEF,43,0,0,2024-12-15T19:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,20,31,16,CHE (A),4
94,Vitaly,Janelt,Brentford,MID,49,0,27,2024-12-15T19:00:00Z,0,0,0,1,0,0,1,0,0,0,4,2.4,14.0,7.0,2.3,0.08,0.50,0.58,0.36,242,17373,16,CHE (A),4
95,Mathias,Jensen,Brentford,MID,53,0,0,2024-12-15T19:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,22,351,16,CHE (A),4
96,Kim,Ji-soo,Brentford,DEF,39,0,0,2024-12-15T19:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1915,1842,16,CHE (A),4
97,Yunus Emre,Konak,Brentford,MID,45,0,0,2024-12-15T19:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,116,351,16,CHE (A),4
98,Keane,Lewis-Potter,Brentford,MID,50,2,85,2024-12-15T19:00:00Z,0,0,0,2,0,0,0,0,0,0,11,15.8,1.1,7.0,2.4,0.03,0.00,0.03,2.09,189,1214,16,CHE (A),4
99,Bryan,Mbeumo,Brentford,MID,76,9,90,2024-12-15T19:00:00Z,1,0,0,2,0,0,0,0,0,2,27,47.4,15.4,42.0,10.5,0.53,0.07,0.60,2.23,121374,277471,16,CHE (A),4
100,Ben,Mee,Brentford,DEF,42,0,0,2024-12-15T19:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1086,1711,16,CHE (A),4
