Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
60,Tyler,Adams,Bournemouth,MID,49,2,66,2024-11-09T15:00:00Z,0,0,0,3,0,0,0,0,0,0,14,18.4,13.8,4.0,3.6,0.03,0.02,0.05,0.95,350,171,11,BRE (A),3
61,Jaidon,Anthony,Bournemouth,MID,45,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,797,11,BRE (A),3
62,David,Brooks,Bournemouth,MID,49,1,14,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,2.0,0.2,0.00,0.01,0.01,0.45,114,113,11,BRE (A),3
63,Ryan,Christie,Bournemouth,MID,49,1,75,2024-11-09T15:00:00Z,0,0,0,3,0,0,1,0,0,0,13,18.2,31.4,12.0,6.2,0.10,0.53,0.63,1.02,1420,1466,11,BRE (A),3
64,Lewis,Cook,Bournemouth,MID,50,5,90,2024-11-09T15:00:00Z,0,1,0,3,0,0,0,0,0,0,23,25.8,19.5,7.0,5.2,0.13,0.37,0.50,1.48,4704,3011,11,BRE (A),3
65,Enes,Enes Ünal,Bournemouth,FWD,54,1,14,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,6.0,0.6,0.06,0.00,0.06,0.45,661,681,11,BRE (A),3
66,Romain,Faivre,Bournemouth,MID,50,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,6,11,BRE (A),3
67,Hamed,H.Traorè,Bournemouth,MID,45,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,290,11,BRE (A),3
68,James,Hill,Bournemouth,DEF,40,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,667,2061,11,BRE (A),3
69,Daniel,Jebbison,Bournemouth,FWD,45,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,14176,11,BRE (A),3
70,Milos,Kerkez,Bournemouth,DEF,44,1,90,2024-11-09T15:00:00Z,0,0,0,3,0,0,0,0,0,0,7,19.0,17.7,6.0,4.3,0.00,0.10,0.10,1.48,86410,3587,11,BRE (A),3
71,Justin,Kluivert,Bournemouth,MID,53,7,75,2024-11-09T15:00:00Z,1,0,0,3,0,0,0,0,0,0,30,39.6,18.0,27.0,8.5,0.13,0.13,0.26,1.02,15570,3267,11,BRE (A),3
72,Chris,Mepham,Bournemouth,DEF,44,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,95,11,BRE (A),3
74,Dango,O.Dango,Bournemouth,MID,50,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,21,500,11,BRE (A),3
75,Alex,Paulsen,Bournemouth,GK,40,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,61,11,BRE (A),3
76,Philip,Philip,Bournemouth,MID,48,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,139,425,11,BRE (A),3
77,Alex,Scott,Bournemouth,MID,48,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,22,348,11,BRE (A),3
78,Antoine,Semenyo,Bournemouth,MID,56,2,90,2024-11-09T15:00:00Z,0,0,0,3,0,0,0,0,0,0,12,7.4,3.8,43.0,5.4,0.28,0.03,0.31,1.48,331018,26308,11,BRE (A),3
79,Marcos,Senesi,Bournemouth,DEF,48,0,66,2024-11-09T15:00:00Z,0,0,0,3,0,0,1,0,0,0,-8,8.0,6.2,7.0,2.1,0.69,0.02,0.71,0.95,14220,3811,11,BRE (A),3
80,Luis,Sinisterra,Bournemouth,MID,50,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,28,5181,11,BRE (A),3
81,Adam,Smith,Bournemouth,DEF,45,0,83,2024-11-09T15:00:00Z,0,0,0,3,0,0,1,0,0,0,-10,5.6,1.9,0.0,0.8,0.00,0.01,0.01,1.12,1313,975,11,BRE (A),3
83,Marcus,Tavernier,Bournemouth,MID,55,1,23,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,8,11.4,19.7,0.0,3.1,0.00,0.36,0.36,0.53,5393,3555,11,BRE (A),3
84,Mark,Travers,Bournemouth,GK,44,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,4243,1138,11,BRE (A),3
85,Illia,Zabarnyi,Bournemouth,DEF,44,0,90,2024-11-09T15:00:00Z,0,0,0,3,0,0,1,0,0,0,0,20.6,1.9,0.0,2.3,0.00,0.01,0.01,1.48,2060,2088,11,BRE (A),3
152,Kepa,Arrizabalaga,Bournemouth,GK,45,2,90,2024-11-09T15:00:00Z,0,0,0,3,0,0,0,0,3,0,4,21.4,10.0,0.0,3.1,0.00,0.00,0.00,1.48,538,8866,11,BRE (A),3
580,Dean,Huijsen,Bournemouth,DEF,43,1,23,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,5,12.2,10.4,12.0,3.5,0.22,0.01,0.23,0.53,130,296,11,BRE (A),3
592,Julián,J.Araujo,Bournemouth,DEF,44,1,6,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,0.00,0.00,0.00,0.36,331,852,11,BRE (A),3
599,Will,Dennis,Bournemouth,GK,40,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,757,2493,11,BRE (A),3
617,Francisco Evanilson,Evanilson,Bournemouth,FWD,59,8,90,2024-11-09T15:00:00Z,1,0,0,3,0,0,0,0,0,2,35,41.4,23.3,25.0,9.0,0.97,0.01,0.98,1.48,70498,5972,11,BRE (A),3
86,Kristoffer,Ajer,Brentford,DEF,44,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,58,3931,11,BOU (H),2
87,Ethan,Brierley,Brentford,MID,45,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,235,492,11,BOU (H),2
88,Nathan,Collins,Brentford,DEF,45,1,90,2024-11-09T15:00:00Z,0,0,0,2,0,0,0,0,0,0,12,46.2,10.5,6.0,6.3,0.00,0.29,0.29,2.61,14865,13558,11,BOU (H),2
89,Mikkel,Damsgaard,Brentford,MID,50,8,90,2024-11-09T15:00:00Z,1,0,0,2,0,0,0,0,0,1,34,54.6,16.8,26.0,9.7,0.11,0.10,0.21,2.17,11757,8364,11,BOU (H),2
90,Josh,Dasilva,Brentford,MID,48,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,15,17,11,BOU (H),2
91,Mark,Flekken,Brentford,GK,45,1,90,2024-11-09T15:00:00Z,0,0,0,2,0,0,0,0,1,0,7,15.4,0.0,0.0,1.5,0.00,0.00,0.00,2.61,43637,26538,11,BOU (H),2
92,Rico,Henry,Brentford,DEF,43,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,30,141,11,BOU (H),2
93,Aaron,Hickey,Brentford,DEF,43,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,29,47,11,BOU (H),2
94,Vitaly,Janelt,Brentford,MID,49,5,90,2024-11-09T15:00:00Z,0,1,0,2,0,0,0,0,0,0,27,33.2,33.8,24.0,9.1,0.14,0.31,0.45,2.61,24756,2082,11,BOU (H),2
95,Mathias,Jensen,Brentford,MID,53,2,78,2024-11-09T15:00:00Z,0,0,0,2,0,0,0,0,0,0,12,4.6,4.3,9.0,1.8,0.02,0.06,0.08,2.13,556,316,11,BOU (H),2
96,Kim,Ji-soo,Brentford,DEF,39,0,0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,4373,2055,11,BOU (H),2
97,Yunus Emre,Konak,Brentford,MID,45,1,1,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0.00,0.00,0.00,0.44,241,569,11,BOU (H),2
98,Keane,Lewis-Potter,Brentford,MID,50,2,90,2024-11-09T15:00:00Z,0,0,0,2,0,0,0,0,0,0,19,19.4,36.7,4.0,6.0,0.00,0.27,0.27,2.61,2360,1227,11,BOU (H),2
