,Player ID,Name,Last_Name,Team,Position,Cost_Today,Minutes,Avail,Gameweek,Form_player_xG_norm,Form_TeamxG_against_norm,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
11103,395,Dan,Burn,Newcastle,DEF,44,90,a,28,2.0,2.417391304347826,20.68345323741007,39.29856115107914,58.94784172661871,79.63129496402878,93.07553956834533
11271,401,Alexander,Isak,Newcastle,FWD,94,78,a,28,2.2218934911242605,2.417391304347826,18.886094674556215,40.470202874049036,64.75232459847845,82.0196111580727,100.90570583262893
11299,402,Jacob,J.Murphy,Newcastle,MID,51,90,a,28,2.044378698224852,2.417391304347826,18.39940828402367,39.42730346576501,63.083685545224014,79.90600169061709,98.30540997464075
11327,403,Joelinton Cássio,Joelinton,Newcastle,MID,60,90,a,28,2.033284023668639,2.417391304347826,16.944033530571993,36.308643279797124,58.0938292476754,73.5855170470555,90.5295505776275
11494,409,Tino,Livramento,Newcastle,DEF,45,90,a,28,2.0,2.417391304347826,20.68345323741007,39.29856115107914,58.94784172661871,79.63129496402878,93.07553956834533
11606,413,Nick,Pope,Newcastle,GK,49,90,a,28,2.0,2.417391304347826,20.68345323741007,39.29856115107914,58.94784172661871,79.63129496402878,93.07553956834533
11662,415,Fabian,Schär,Newcastle,DEF,54,90,a,28,2.0,2.417391304347826,20.68345323741007,39.29856115107914,58.94784172661871,79.63129496402878,93.07553956834533
11718,417,Sandro,Tonali,Newcastle,MID,55,90,a,28,2.0,2.417391304347826,18.666666666666664,40.0,64.0,81.06666666666666,99.73333333333332
11746,418,Kieran,Trippier,Newcastle,DEF,56,90,a,28,2.011094674556213,2.417391304347826,20.68345323741007,39.29856115107914,58.94784172661871,79.63129496402878,93.07553956834533
11856,422,Ola,Aina,Nottingham Forest,DEF,53,90,a,28,2.0,2.5217391304347823,16.85344827586207,35.689655172413794,45.60344827586207,65.43103448275863,76.33620689655174
11884,423,Elliot,Anderson,Nottingham Forest,MID,50,90,a,28,2.011094674556213,2.5217391304347823,23.606420822766975,41.65838968723584,58.321745562130175,82.76133417864187,104.97914201183433
